City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Mayo,38.8876,-76.5119,60.22,89,74,1.01,US,1635037908
Odesskoye,54.2111,72.9651,44.96,86,18,12.64,RU,1635037728
Bambous Virieux,-20.3428,57.7575,74.21,71,92,13.56,MU,1635037909
Yulara,-25.2406,130.9889,76.84,20,90,19.57,AU,1635037909
Touros,-5.1989,-35.4608,81.5,81,65,12.97,BR,1635037848
Kokopo,-4.352,152.2633,86.49,61,16,8.75,PG,1635037909
Marzuq,14.4,46.4667,67.23,34,98,2.13,YE,1635037910
Dikson,73.5069,80.5464,8.91,87,100,14.03,RU,1635037737
Gornopravdinsk,60.05,69.9,38.41,82,63,12.62,RU,1635037910
Halifax,44.6453,-63.5724,61.48,97,100,1.01,CA,1635037910
Qaanaaq,77.484,-69.3632,-0.89,58,0,7.76,GL,1635037796
Buraidah,26.326,43.975,74.03,19,0,10.0,SA,1635037911
Stabat,3.761,98.4513,77.2,96,100,3.24,ID,1635037911
Mahébourg,-20.4081,57.7,74.25,72,81,13.8,MU,1635037707
Beloha,-25.1667,45.05,68.07,79,0,4.14,MG,1635037640
Gao,16.6362,1.637,85.6,39,82,6.89,ML,1635037912
San Juan,-31.5375,-68.5364,68.38,22,0,9.08,AR,1635037912
Comodoro Rivadavia,-45.8667,-67.5,55.26,22,0,21.85,AR,1635037912
Bandarbeyla,9.4942,50.8122,77.29,78,35,5.82,SO,1635037811
Fichē,9.8,38.7333,44.78,68,6,3.22,ET,1635037875
Mackay,-21.15,149.2,89.69,67,17,10.87,AU,1635037913
Celestún,20.8667,-90.4,79.56,81,53,10.11,MX,1635037913
Ostrovnoy,68.0531,39.5131,26.73,89,100,18.28,RU,1635037793
Ixtapa,20.7,-105.2,83.43,84,75,5.75,MX,1635037601
Los Llanos de Aridane,28.6585,-17.9182,65.12,80,75,1.99,ES,1635037835
Bredasdorp,-34.5322,20.0403,48.27,75,44,1.72,ZA,1635037667
Mahajanga,-15.7167,46.3167,73.42,94,20,3.44,MG,1635037725
Pevek,69.7008,170.3133,9.23,92,100,6.51,RU,1635037914
São João da Barra,-21.6403,-41.0511,72.79,87,4,22.7,BR,1635037877
Arraial do Cabo,-22.9661,-42.0278,71.01,88,0,32.5,BR,1635037914
Troitsko-Pechorsk,62.7084,56.1964,30.6,71,100,4.43,RU,1635037915
Otaki,-40.7583,175.15,62.44,87,100,5.53,NZ,1635037915
Sicamous,50.8331,-118.9856,52.48,91,99,2.42,CA,1635037915
Taltal,-25.4,-70.4833,58.24,80,7,5.44,CL,1635037820
Ushtobe,45.2514,77.9838,39.94,49,0,7.45,KZ,1635037916
Faya,18.3851,42.4509,56.19,29,6,4.45,SA,1635037756
Ust-Nera,64.5667,143.2,5.16,95,85,4.9,RU,1635037892
Sinjār,36.3209,41.8754,65.19,18,0,8.43,IQ,1635037916
Abhā,18.2164,42.5053,56.64,28,5,7.09,SA,1635037917
Souillac,-20.5167,57.5167,74.35,74,31,10.89,MU,1635037792
Busselton,-33.65,115.3333,71.04,61,100,4.94,AU,1635037679
Cidreira,-30.1811,-50.2056,65.17,91,100,9.53,BR,1635037699
Kandrian,-6.2167,149.55,85.96,67,41,9.42,PG,1635037917
Airai,-8.9266,125.4092,77.18,39,58,1.34,TL,1635037727
Kidal,18.4411,1.4078,87.57,30,89,5.19,ML,1635037918
Rosário Oeste,-14.8361,-56.4275,83.59,58,35,7.23,BR,1635037918
Kuytun,54.3419,101.5036,31.1,89,66,4.09,RU,1635037918
Statesboro,32.4488,-81.7832,60.94,94,1,0.0,US,1635037919
Bilibino,68.0546,166.4372,-6.09,98,92,0.89,RU,1635037914
Kahului,20.8947,-156.47,84.22,69,40,23.02,US,1635037767
Hamilton,39.1834,-84.5333,56.25,83,90,0.0,US,1635037525
Bereket,39.2446,55.5154,51.39,23,1,3.78,TM,1635037919
Monkey Bay,-14.0728,34.9201,79.29,66,86,1.36,MW,1635037920
Villa Alemana,-33.0422,-71.3733,66.51,51,0,5.75,CL,1635037920
Xinpu,34.5997,119.1594,59.72,60,98,1.63,CN,1635037920
Pundaguitan,6.3711,126.1689,82.87,71,100,1.7,PH,1635037921
Mporokoso,-9.3727,30.125,73.22,45,100,1.52,ZM,1635037921
Vardø,70.3705,31.1107,35.35,67,61,24.11,NO,1635037802
Hasaki,35.7333,140.8333,63.28,48,42,5.12,JP,1635037734
Torbay,47.6666,-52.7314,59.76,95,100,3.0,CA,1635037874
Zheleznodorozhnyy,55.7503,38.0042,41.22,95,100,9.1,RU,1635037922
Tay Ninh,11.3,106.1,78.4,82,100,5.91,VN,1635037922
Minot,48.2325,-101.2963,45.59,57,90,16.11,US,1635037736
Morant Bay,17.8815,-76.4093,77.63,83,86,9.42,JM,1635037923
Fort Morgan,40.2503,-103.8,57.81,47,1,8.05,US,1635037923
Bonnyville,54.2668,-110.735,40.17,67,100,15.21,CA,1635037901
Northam,51.0333,-4.2167,56.01,78,100,20.62,GB,1635037876
Erenhot,43.6475,111.9767,43.36,38,0,6.02,CN,1635037866
Nanortalik,60.1432,-45.2371,35.51,71,15,19.55,GL,1635037714
Puri,19.8,85.85,70.32,68,18,5.86,IN,1635037924
São Miguel do Araguaia,-13.275,-50.1628,82.17,57,93,4.68,BR,1635037924
Elko,41.0002,-115.5012,42.75,81,100,7.0,US,1635037925
Aksarka,66.5606,67.7975,27.1,84,100,17.2,RU,1635037760
Fortuna,40.5982,-124.1573,62.94,82,90,5.99,US,1635037708
Hakui,36.8833,136.7833,63.25,50,6,2.75,JP,1635037925
Nauen,52.607,12.8737,46.17,100,18,3.94,DE,1635037926
Brigham City,41.5102,-112.0155,46.42,85,90,3.44,US,1635037926
Quatre Cocos,-20.2078,57.7625,74.08,71,90,12.57,MU,1635037848
Minbu,20.1833,94.8833,76.53,87,94,0.65,MM,1635037926
Dalbandin,28.8947,64.4101,54.27,18,0,5.26,PK,1635037927
Lavrentiya,65.5833,-171.0,24.89,83,100,9.62,RU,1635037786
San Quintín,30.4833,-115.95,63.75,72,8,19.01,MX,1635037927
Perth,-31.9333,115.8333,79.02,41,0,9.22,AU,1635037726
Rafai,4.95,23.9167,68.79,97,53,2.15,CF,1635037878
Biłgoraj,50.5411,22.722,41.67,89,8,7.02,PL,1635037928
Oudtshoorn,-33.5907,22.2014,51.35,82,17,2.17,ZA,1635037928
Kuopio,62.8924,27.677,24.75,93,40,8.05,FI,1635037929
Spornoye,50.8448,37.2913,37.42,76,79,7.76,RU,1635037929
Cockburn Town,21.4612,-71.1419,83.16,69,90,19.37,TC,1635037787
Horsham,51.064,-0.3272,56.53,59,75,5.75,GB,1635037930
Portland,45.5234,-122.6762,56.43,94,75,1.01,US,1635037374
La Asuncion,11.0333,-63.8628,79.93,79,72,16.67,VE,1635037930
Lagoa,39.05,-27.9833,66.42,62,97,12.19,PT,1635037931
Province of Mantua,45.1667,10.7833,58.28,70,31,8.01,IT,1635037931
Dori,14.0354,-0.0345,85.08,50,100,7.81,BF,1635037931
Asău,46.4333,26.4,45.39,63,99,1.92,RO,1635037807
Ise,34.4833,136.7,58.32,55,100,8.93,JP,1635037784
Kaitangata,-46.2817,169.8464,57.87,70,100,3.96,NZ,1635037779
Lufilufi,-13.8745,-171.5986,83.79,66,93,15.19,WS,1635037932
Pampa,35.5362,-100.9599,77.95,46,1,6.91,US,1635037932
Cape Town,-33.9258,18.4232,56.1,75,4,5.5,ZA,1635037696
Okhotsk,59.3833,143.3,20.91,66,0,18.41,RU,1635037680
Tiksi,71.6872,128.8694,1.74,95,100,9.78,RU,1635037761
Lichuan,30.3,108.85,49.77,72,100,0.98,CN,1635037933
Omsukchan,62.5333,155.8,3.87,89,33,3.4,RU,1635037933
Grindavik,63.8424,-22.4338,45.07,100,90,11.5,IS,1635037933
Tomatlán,19.9333,-105.25,76.98,94,100,2.37,MX,1635037763
Lorengau,-2.0226,147.2712,85.05,70,98,10.4,PG,1635037934
Thompson,55.7435,-97.8558,35.85,73,100,4.16,CA,1635037677
Huambo,-12.7761,15.7392,62.02,79,40,3.29,AO,1635037934
Saint-François,46.4154,3.9054,33.67,100,0,3.44,FR,1635037935
Clyde River,70.4692,-68.5914,18.3,82,95,13.24,CA,1635037693
Tuatapere,-46.1333,167.6833,59.29,77,100,2.08,NZ,1635037783
Camacha,33.0833,-16.3333,66.96,56,40,9.22,PT,1635037735
Padang,-0.9492,100.3543,77.05,86,96,5.44,ID,1635037935
Morshansk,53.4435,41.8107,38.61,83,8,9.6,RU,1635037936
Grand Gaube,-20.0064,57.6608,74.37,76,97,5.99,MU,1635037936
Darnah,32.767,22.6367,71.24,58,7,9.95,LY,1635037936
Moerai,-22.4333,-151.3333,71.26,69,100,12.35,PF,1635037937
Talnakh,69.4865,88.3972,22.78,92,100,6.58,RU,1635037937
Viedma,-40.8135,-62.9967,47.44,23,0,10.25,AR,1635037937
Powell River,49.8496,-124.5361,52.09,87,100,6.17,CA,1635037937
Pangkalanbuun,-2.6833,111.6167,82.18,80,40,0.6,ID,1635037938
Fiumicino,41.7675,12.2291,65.07,80,0,6.91,IT,1635037938
San Patricio,28.017,-97.5169,78.84,69,0,9.48,US,1635037860
Paphos,34.7667,32.4167,62.51,72,0,8.05,CY,1635037939
Aginskoye,51.1,114.53,38.08,49,78,3.94,RU,1635037939
Taquarana,-9.645,-36.4972,73.24,93,61,9.33,BR,1635037939
Najrān,17.4924,44.1277,62.24,32,10,0.34,SA,1635037721
São Gabriel da Cachoeira,-0.1303,-67.0892,75.7,91,36,0.94,BR,1635037940
Rāyagada,19.1667,83.4167,70.41,92,100,1.28,IN,1635037940
Lata,40.1629,-8.3327,56.8,66,0,2.59,PT,1635037920
Laguna,38.421,-121.4238,64.11,74,90,1.01,US,1635037685
Safi,32.2994,-9.2372,63.16,79,5,13.76,MA,1635037941
Upernavik,72.7868,-56.1549,18.66,87,100,13.67,GL,1635037748
Russell,32.3502,-85.1999,61.83,92,6,0.47,US,1635037941
Erzurum Province,40.0,41.5,24.48,47,0,4.61,TR,1635037942
Río Gallegos,-51.6226,-69.2181,39.25,60,0,20.71,AR,1635037787
Zhuhai,22.2769,113.5678,70.79,82,40,18.41,CN,1635037942
Maniitsoq,65.4167,-52.9,26.31,48,100,5.61,GL,1635037942
Port Hedland,-20.3167,118.5667,95.05,12,69,23.02,AU,1635037943
Alofi,-19.0595,-169.9187,74.21,65,97,22.35,NU,1635037907
Ankang,32.68,109.0172,55.54,73,5,1.25,CN,1635037943
Salalah,17.0151,54.0924,73.49,64,0,5.75,OM,1635037790
Puerto Escondido,15.85,-97.0667,79.63,69,90,3.44,MX,1635037772
Sandwick,60.0,-1.25,53.42,87,90,19.57,GB,1635037944
Inhambane,-23.865,35.3833,73.98,90,0,15.86,MZ,1635037944
Basse,52.5518,9.5069,41.23,87,0,5.75,DE,1635037944
Hobart,-42.8794,147.3294,55.02,70,75,5.01,AU,1635037773
Huarmey,-10.0681,-78.1522,64.06,85,38,10.8,PE,1635037847
Cabo San Lucas,22.8909,-109.9124,83.61,71,1,5.99,MX,1635037805
Bitung,1.4451,125.1824,86.85,69,100,3.11,ID,1635037945
Kefar Shemaryahu,32.1856,34.8219,68.92,78,1,4.61,IL,1635037945
Yangi Marg`ilon,40.4272,71.7189,38.12,70,0,6.91,UZ,1635037860
Khatanga,71.9667,102.5,8.4,91,98,15.88,RU,1635037901
Samarai,-10.6167,150.6667,81.27,80,25,12.24,PG,1635037946
Ghanzi,-21.5667,21.7833,65.34,18,0,10.31,BW,1635037946
Sahuaripa,29.05,-109.2333,75.43,33,0,6.17,MX,1635037946
Warwick,41.7001,-71.4162,54.1,71,20,10.36,US,1635037812
Sabha,27.0377,14.4283,77.67,19,32,13.65,LY,1635037947
Hualmay,-11.0964,-77.6139,62.87,83,29,11.59,PE,1635037766
Katobu,-4.9408,122.5276,87.85,60,14,1.45,ID,1635037947
Pisco,-13.7,-76.2167,61.02,82,27,21.85,PE,1635037689
Naze,28.3667,129.4833,70.43,63,98,21.12,JP,1635037648
Esim,4.8699,-2.2405,76.75,87,48,3.36,GH,1635037948
Kayerkan,69.3497,87.7602,21.42,93,98,6.89,RU,1635037948
Namatanai,-3.6667,152.4333,85.62,68,95,6.82,PG,1635037837
Quang Ngai,15.1167,108.8,74.57,95,100,6.49,VN,1635037949
Kavaratti,10.5669,72.642,81.18,75,60,2.55,IN,1635037738
Kimbe,-5.5502,150.1429,90.3,54,23,4.81,PG,1635037949
King City,36.2127,-121.126,67.42,49,100,9.66,US,1635037949
Ponérihouen,-21.0833,165.4,79.07,61,2,7.29,NC,1635037950
Noyabrsk,63.1994,75.4507,34.7,91,100,16.67,RU,1635037950
Broken Hill,-31.95,141.4333,62.85,36,0,12.06,AU,1635037687
‘Āhuimanu,21.4447,-157.8378,83.91,60,40,11.5,US,1635037950
Ucluelet,48.9329,-125.5528,52.09,83,26,3.42,CA,1635037946
Yaan,7.3833,8.5667,72.34,87,99,2.1,NG,1635037951
Dingle,10.9995,122.6711,82.47,80,59,0.29,PH,1635037788
Glens Falls,43.3095,-73.644,48.81,88,20,3.44,US,1635037821
Severo-Kuril'sk,50.6789,156.125,40.87,85,66,12.17,RU,1635037733
Namanyere,-7.5167,31.05,67.59,48,92,2.71,TZ,1635037951
Puerto Colombia,10.9878,-74.9547,78.89,76,65,4.21,CO,1635037952
Kaspiysk,42.8816,47.6392,48.38,100,75,4.47,RU,1635037952
La Libertad,-2.2333,-80.9,70.59,83,100,7.27,EC,1635037684
Ciudad del Carmen,18.6333,-91.8333,82.44,83,40,5.75,MX,1635037953
Krasnozatonskiy,61.6758,50.9794,32.22,100,90,6.71,RU,1635037953
Terrace,54.5163,-128.6035,45.43,90,98,1.48,CA,1635037846
Constitución,-35.3333,-72.4167,50.68,87,0,13.89,CL,1635037715
Jalu,29.0331,21.5482,69.8,38,27,10.98,LY,1635037821
Ambilobe,-13.2,49.05,73.06,92,95,3.02,MG,1635037777
Angoram,-4.0625,144.0661,89.51,55,100,4.32,PG,1635037954
San Juan de la Maguana,18.8059,-71.2299,70.32,91,56,2.37,DO,1635037954
Manacor,39.5696,3.2096,64.33,75,61,11.65,ES,1635037954
Raja,8.4596,25.678,70.77,87,12,3.8,SS,1635037955
Aksay,47.26,39.87,52.25,78,100,1.99,RU,1635037848
Dwārka,22.2394,68.9678,79.95,68,0,15.39,IN,1635037955
Bow Island,49.8668,-111.3684,47.48,41,99,10.38,CA,1635037955
Doha,25.2867,51.5333,78.78,65,0,3.44,QA,1635037949
Pouembout,-21.1333,164.9,83.17,50,3,8.81,NC,1635037956
Carnarvon,-24.8667,113.6333,75.27,69,0,12.66,AU,1635037745
Ciputat,-6.2375,106.6956,88.47,72,20,4.61,ID,1635037956
Timrå,62.487,17.3257,26.28,93,90,4.61,SE,1635037956
Insch,57.3427,-2.6132,56.68,89,100,13.71,GB,1635037957
Port-Cartier,50.0334,-66.8654,46.62,94,100,2.13,CA,1635037957
Atasū,48.6814,71.6433,36.7,52,0,9.24,KZ,1635037957
St. George's,12.0564,-61.7485,82.08,74,20,9.22,GD,1635037787
Narsaq,60.9167,-46.05,34.02,54,31,5.14,GL,1635037958
Tayoltita,24.0833,-105.9333,66.4,94,0,1.23,MX,1635037958
Poum,-20.2333,164.0167,74.21,77,16,7.4,NC,1635037958
Muborak,39.2553,65.1528,47.32,41,0,9.33,UZ,1635037959
Gizo Government Station,-8.103,156.8419,85.23,68,17,9.08,SB,1635037833
Havelock,34.8791,-76.9013,68.94,90,0,4.03,US,1635037959
Emerald,-23.5333,148.1667,93.31,29,85,7.9,AU,1635037959
Ca Mau,9.1769,105.15,81.41,81,29,5.55,VN,1635037960
Santa Catarina de Tepehuanes,25.35,-105.7333,60.71,55,0,8.48,MX,1635037960
Carutapera,-1.195,-46.02,78.24,84,100,5.53,BR,1635037960
Sobolevo,54.4299,31.8996,38.03,86,100,13.51,RU,1635037961
Boden,65.8252,21.6886,12.2,99,72,2.35,SE,1635037961
Scarsdale,41.0051,-73.7846,57.18,69,75,1.99,US,1635037899
Itarema,-2.9248,-39.9167,79.9,80,75,13.09,BR,1635037961
Rundu,-17.9333,19.7667,79.88,40,99,6.82,NA,1635037962
Jacareacanga,-6.2222,-57.7528,74.46,96,65,2.08,BR,1635037962
Cartagena,10.3997,-75.5144,82.02,89,75,4.61,CO,1635037811
Makat,47.6469,53.3463,48.94,28,12,10.27,KZ,1635037962
Riyadh,24.6877,46.7219,75.34,24,0,9.53,SA,1635037429
Marsá Maţrūḩ,31.3525,27.2453,68.34,73,0,6.51,EG,1635037963
Rome,43.2128,-75.4557,48.67,83,90,3.44,US,1635037676
Okha,53.5739,142.9478,37.72,75,99,17.52,RU,1635037963
Bowen,-20.0167,148.2333,80.76,64,100,10.33,AU,1635037964
Gârbou,47.15,23.4333,38.62,72,9,4.25,RO,1635037964
Port-Gentil,-0.7193,8.7815,77.52,85,99,9.55,GA,1635037959
Udachny,66.4167,112.4,26.17,92,100,20.31,RU,1635037822
Dubbo,-32.25,148.6167,66.33,42,0,11.5,AU,1635037828
Pangnirtung,66.1451,-65.7125,23.7,86,100,5.5,CA,1635037716
San Cristobal,7.7669,-72.225,71.78,99,100,2.75,VE,1635037788
Nishihara,26.1842,127.7558,76.28,62,75,12.66,JP,1635037965
Nyurba,63.2842,118.3319,33.46,77,100,11.65,RU,1635037707
Tadine,-21.55,167.8833,76.28,73,10,14.83,NC,1635037965
Iqaluit,63.7506,-68.5145,31.69,88,100,11.99,CA,1635037744
San Luis,-33.295,-66.3356,58.82,28,0,6.33,AR,1635037776
Lompoc,34.6391,-120.4579,68.38,78,1,6.91,US,1635037966
Atbasar,51.8,68.3333,45.18,91,55,14.79,KZ,1635037966
Sept-Îles,50.2001,-66.3821,46.92,100,90,3.44,CA,1635037731
Cardston,49.2,-113.3019,46.45,59,79,8.48,CA,1635037967
Cuamba,-14.8031,36.5372,74.86,38,98,4.21,MZ,1635037967
Spring Valley,36.108,-115.245,74.59,32,75,6.91,US,1635037594
Kautokeino,69.0125,23.0412,9.03,86,14,4.56,NO,1635037698
Sos'va,59.1766,61.8558,37.69,85,12,8.84,RU,1635037968
Luanda,-8.8368,13.2343,74.8,80,100,6.22,AO,1635037968
